,Product URL,Product Name,Product Price,Rating,Number of reviews
14,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679320525&sprefix=ba%2Caps%2C283&sr=8-16,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075",4.4,"(5,453)"
15,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679320525&sprefix=ba%2Caps%2C283&sr=8-17,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,"(5,645)"
16,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679320525&sprefix=ba%2Caps%2C283&sr=8-18,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"(2,340)"
17,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679320525&sprefix=ba%2Caps%2C283&sr=8-19,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,131",4.3,"(5,161)"
18,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679320525&sprefix=ba%2Caps%2C283&sr=8-20,ADISA Laptop Backpack 31 Ltrs,499,4.0,"(9,083)"
19,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MjA2Njk2NTY3NTQ5Mzk6MTY3OTMyMDUyNTpzcF9idGY6MjAxMDU0NTE4NTE1OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679320525%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.9,(17)
20,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MjA2Njk2NTY3NTQ5Mzk6MTY3OTMyMDUyNTpzcF9idGY6MjAwNzIzOTU1MTI3MDI6OjA6Og&url=%2FArtistix-Unisex-Travel-Backpack-Repellent%2Fdp%2FB09B5DMGM1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679320525%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)","1,989",4.5,(661)
21,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc5ODM3OTIyNjE0MjY1OjE2NzkzMjExNTU6c3BfYXRmX25leHQ6MjAxMjU4OTk5MjA2OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321155%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.9,(17)
22,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc5ODM3OTIyNjE0MjY1OjE2NzkzMjExNTU6c3BfYXRmX25leHQ6MjAxMDU3MTU4MjE1OTg6OjA6Og&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321155%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",4.9,(23)
23,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-19,ADISA Laptop Backpack 31 Ltrs,499,4.0,"(9,083)"
24,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-21,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,3.9,"(2,428)"
25,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-22,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1,(8)
26,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-24,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",299,4.1,"(8,155)"
27,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-25,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599,4.0,(31)
28,https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-26,Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men and Women,"1,399",4.2,(311)
29,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-29,DEIN KLEIDER Men's Nylon Messenger Bag,349,4.0,"(4,564)"
30,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-30,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,238,4.0,"(3,114)"
31,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-31,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834,4.0,"(5,130)"
